2012R1025,2002R2342
2000L0031,1999L0093
2017R0373,2012R0923
2012R1025,2004L0017
2019R0947,2012R0965
2001L0095,1967L0548
2012R1025,2008D0768
2019R0945,2014L0030
2021R0664,2021R0665
2004R0551,2004R0550
2008R0765,2000X1218(01)
2014L0053,2007D0344
2000L0031,1998L0006
2012R1025,1996R2185
2000L0031,1987L0102
2012R1025,2002L0021
2006L0042,1991L0477
2008R0765,1996R2185
2000L0031,1998L0043
2014L0053,2008L0063
2000L0031,1989L0048
2001L0095,1998L0034
2006L0042,1998L0034
2019R0945,2001L0095
2000L0031,1985L0374
2009L0048,2001L0095
2017R0373,2011R1178
2009L0048,2002L0095
2012R1025,2010D0048
2019R0945,2014R0376
2001L0095,1975L0319
2001L0095,1993R0793
2014L0030,2011R0182
2012R1025,2011R0182
2014L0053,2012R1025
2009L0048,1985Y0604(01)
2008R0765,1995L0046
2001L0095,1984D0133
2000L0031,1998L0027
2021R0664,2012R0923
2019R0945,2008D0768
2014L0053,1998L0034
2012R1025,2005L0036
2014L0053,2008R0765
2014R0376,2001R0045
2019R0945,2008R0765
2021R0664,2017R0373
2012R1025,2009L0081
2000L0031,1998L0084
2012R0923,2004R0549
2009L0048,2008D0768
2000L0031,1984L0450
2019R0945,2014R1321
2000L0031,1999Y0128(01)
2014L0053,2002D0676
2008R0765,1998L0034
2009L0048,1998L0034
2019R0947,2014R0376
2000L0031,1989L0552
2000L0031,1993L0013
2000L0031,1997L0067
2000L0031,1997L0013
2006L0042,1989L0392
2001L0095,1999D0468
2000L0031,1993L0022
2021R0664,2021R0666
2014L0053,2011R0182
2017R0373,2012R0965
2014L0053,2008D0768
2019R0947,2019R0945
2019R0947,2011R1332
2012R1025,1999R1073
2009L0048,1999D0468
2019R0947,2008D0768
2019R0945,2014L0053
2014R0376,1995L0046
2009L0048,1994L0062
2008R0765,1992R2913
2000L0031,1990L0314
2012R1025,2009D0922
2014R0376,2008R0216
2019R0945,2006L0042
2019R0945,2015R0640
2019R0945,2012R0748
2009L0048,2004R1935
2000L0031,1994L0047
2019R0945,2009L0048
2019R0947,2016R0679
2000L0031,1992L0059
2009L0048,2008R0765
2000L0031,1992L0028
2000L0031,1977L0388
2021R0664,2019R0947
2014L0030,2012R1025
2012R1025,1995R2988
2000L0031,1997L0066
2012R1025,2002R1605
2008R0765,2002R1605
2014R0376,2001R1049
2020R0639,2019R0945
2012R1025,2006D1926
2000L0031,1997L0007
2008R0765,1999R1073
2014L0053,2014L0030
2009L0048,1985L0374
2014R0376,2011R0182
2017R0373,2014R0139
2006L0042,1970L0156
2014L0030,2008R0765
2012R1025,2006D1673
2019R0945,2012R1025
2014L0030,1998L0034
2021R0664,2019R0945
2022R0425,2019R0945
2014L0053,2014L0035
2014L0030,1992L0005
2014L0053,2002L0021
2008R0765,2001R1049
2021R0665,2021R0664
2009L0048,2006R1907
2014L0030,2008R0216
2014L0030,2008D0768
2008R0765,2002R2342
2020R0746,2019R0945
2001L0095,1981L0851
2000L0031,1995L0046
2014R1321,2012R0748
2019R0945,2019R0947
2001L0095,1985L0374
2006L0042,1999D0468
2019R0945,2000L0031
2019R0947,2009L0048
2008R0765,1995R2988
2000L0031,1998L0034
2012R1025,2007R0614
2019R0947,2012R0923
2012R1025,2006D1639
2012R1025,2004L0018
2017R0373,2015R0340
2009L0048,2006L0012
2012R1025,2011R0305
2006L0042,2002L0024
2000L0031,1999L0044
2014R0376,2008R1008
2017R0373,2004R0549
2009L0048,2002L0096
2019R0945,2004R0551
